gene	log2FC	padj	dataset
KIAA0408	-1.94157570277235	3.78964259054884e-22	NEW_GSE94335
NA	-1.08329981637228	4.39568345936974e-22	NEW_GSE94335
NFKBIA	-1.00465626431115	6.21418036355217e-22	NEW_GSE94335
MAOA	-2.00692788078205	6.45802931725821e-22	NEW_GSE94335
CHST7	-1.2080116560739	8.30959046516383e-22	NEW_GSE94335
ANXA4	-1.14067378238834	9.56227578212834e-22	NEW_GSE94335
PER3	1.55728985294443	1.80521069792572e-21	NEW_GSE94335
CDKN1C	-1.07855839567399	1.96300546668286e-21	NEW_GSE94335
TGFBR2	-0.956186222444583	2.36953585116668e-21	NEW_GSE94335
TCEAL4	-1.35869251846852	2.635781844122e-21	NEW_GSE94335
DRAM1	1.44871109674578	2.96583646636882e-21	NEW_GSE94335
SSH2	-1.28017023002938	2.96583646636882e-21	NEW_GSE94335
KLF6	-1.06652518723158	2.96583646636882e-21	NEW_GSE94335
ID2	0.914764698406971	3.28416711806028e-21	NEW_GSE94335
USP53	-2.0302196548821	4.34399769208043e-21	NEW_GSE94335
KCNK6	-1.57263185692436	5.47760283544521e-21	NEW_GSE94335
PHC2	-1.1394789362729	5.79063390859195e-21	NEW_GSE94335
MAN1C1	1.03447779053723	1.56495406813963e-20	NEW_GSE94335
TM7SF3	-0.877980914480884	1.61671030610288e-20	NEW_GSE94335
STXBP4	-0.983463462757538	1.61671030610288e-20	NEW_GSE94335
RGL1	0.918396115446865	2.56547521939984e-20	NEW_GSE94335
TLDC2	-2.463360841165	2.93534544614138e-20	NEW_GSE94335
APLN	2.64815962975195	3.01269350742252e-20	NEW_GSE94335
IRS1	-0.865675126921387	4.38771552334248e-20	NEW_GSE94335
PRSS23	1.18930126443205	4.43661611483525e-20	NEW_GSE94335
TGFBR2	-0.901116875120309	5.72088677423221e-20	NEW_GSE94335
MAP1LC3C	-2.1214542693761	7.85458957497852e-20	NEW_GSE94335
CACNB2	-1.93569459413989	1.29382396061528e-19	NEW_GSE94335
MTHFD2	-1.39998983067772	1.60887142750289e-19	NEW_GSE94335
KLHL42	-0.876254422278479	1.67280605011622e-19	NEW_GSE94335
IFI44L	-1.67480144147063	1.68104251118809e-19	NEW_GSE94335
ABAT	-1.03770641196285	1.99772457013338e-19	NEW_GSE94335
SAMD12	1.37998048157025	1.99772457013338e-19	NEW_GSE94335
STC2	-2.33606372899574	1.99906098374969e-19	NEW_GSE94335
MICAL2	-0.99304621012494	2.14745526888892e-19	NEW_GSE94335
SLC8A1	0.966741195222261	2.17619718437357e-19	NEW_GSE94335
STARD7	-0.85767720902875	3.61643570269457e-19	NEW_GSE94335
DCXR	-1.54454086763505	3.63824262128689e-19	NEW_GSE94335
MTHFD2	-1.16239985233921	3.95377606381239e-19	NEW_GSE94335
NA	-1.35437764568528	4.0888776315933e-19	NEW_GSE94335
PRKAG2	-5.09833700776568	5.67084829272914e-19	NEW_GSE94335
LY75	-1.65434475001688	5.81755707361156e-19	NEW_GSE94335
EXT1	0.927488166842144	6.64635455299014e-19	NEW_GSE94335
ULK2	-0.900928987621621	6.69392276265581e-19	NEW_GSE94335
AFAP1L1	-1.88962427461416	7.0945739738768e-19	NEW_GSE94335
SH3D19	-1.1829401111637	7.30599758772779e-19	NEW_GSE94335
APCDD1	-1.65553942545034	8.68992669726174e-19	NEW_GSE94335
SDC4	0.951987265965436	1.04773702917247e-18	NEW_GSE94335
SLC19A2	-1.39857092406163	1.29562805317536e-18	NEW_GSE94335
ABHD5	-0.979630117969878	1.30283697381912e-18	NEW_GSE94335
COL4A1	-1.36485134156286	1.42072153626274e-18	NEW_GSE94335
GPX3	-3.23161530851649	1.42072153626274e-18	NEW_GSE94335
CELF2	-1.04476699669963	1.86644067441307e-18	NEW_GSE94335
NRP2	-0.828140928702177	2.10871951613802e-18	NEW_GSE94335
TNFRSF11B	2.47925742462724	2.49908153070146e-18	NEW_GSE94335
CDON	1.63857965087751	5.56958374252084e-18	NEW_GSE94335
CPM	-1.02393215452534	5.79958882437338e-18	NEW_GSE94335
FSTL1	-0.946218828485973	5.94114491694848e-18	NEW_GSE94335
LXN	1.39504854290357	6.21376016958643e-18	NEW_GSE94335
CHDH	1.69899861710831	6.67032408667588e-18	NEW_GSE94335
CIDEC	-4.86772712670721	6.95184323875293e-18	NEW_GSE94335
HPS5	-0.955384026791775	7.55638071029546e-18	NEW_GSE94335
AHCTF1	-0.822744738734913	8.23598097278063e-18	NEW_GSE94335
MT1X	-2.35579616788627	8.75973866513607e-18	NEW_GSE94335
SYNJ2	1.01562280249189	1.0997988904414e-17	NEW_GSE94335
SOX4	1.51705973881832	1.17362584226527e-17	NEW_GSE94335
SH3D19	-1.35327069280863	1.19193962527833e-17	NEW_GSE94335
ARMC8	-0.981653371550673	1.43592988667591e-17	NEW_GSE94335
TNFRSF11B	2.23026245259667	1.49124471306572e-17	NEW_GSE94335
IL16	-1.40099070125624	1.51168929569327e-17	NEW_GSE94335
PRDX6	-0.815792925248598	2.0028733199835e-17	NEW_GSE94335
TSC22D1	-1.87837524714585	2.52448209190609e-17	NEW_GSE94335
TNFSF13B	1.67889389755638	3.05751784258106e-17	NEW_GSE94335
FAM107B	1.33787889980456	3.14922308274703e-17	NEW_GSE94335
PER1	-2.21716405567727	3.26394654002424e-17	NEW_GSE94335
SLC4A7	1.26749561141962	3.28539454676279e-17	NEW_GSE94335
ARHGEF37	1.04052501619075	3.5345268889085e-17	NEW_GSE94335
FAM102B	0.832135562639178	3.5345268889085e-17	NEW_GSE94335
ALDH6A1	-1.16004785673994	3.69889906585866e-17	NEW_GSE94335
ARHGAP10	-0.83312831415237	3.74501465552824e-17	NEW_GSE94335
IL16	-1.28829558443019	3.74501465552824e-17	NEW_GSE94335
PRRX1	1.13465321917586	3.75123454229534e-17	NEW_GSE94335
NEXN	-0.871344017934843	4.01422283125473e-17	NEW_GSE94335
NA	0.852861495324973	4.27990130850881e-17	NEW_GSE94335
SYTL2	1.32021866920682	4.90215570691385e-17	NEW_GSE94335
WIPI1	-0.987175693542492	6.51514299249884e-17	NEW_GSE94335
HPS5	-1.09007466413138	6.96152709905132e-17	NEW_GSE94335
